Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
Tractor Supply Co,Consumer Cyclical,Specialty Retail,USA,NASD,S&P 500,24.35,2.01,0.33%,531.24M,-2.14%,25.96B,21.27,2.30,-7.45%,528.44M,-1.80%,1.08B,3.02,0.80,99.28%,8.61%,-10.51%,14.96B,1.74,2.09%,0.20%,8.23,-13.08%,4.21,11.62,10.54%,10.86%,45.50M,-13.17%,0.44,112.05,8.07%,49.62%,46.85,61.53,-7.71%,0.92 (1.89%),42.42,16.98%,14.25%,-20.41%,0.74,0.90 (1.84%),0.17,12.67%,33.22%,4.52%,1.38,"May 28, 2025",1.41,-2.13%,9.72%,39.57,1.68%,1.52%,52000,2.57,2.07%,7.24%,2.31,54.89,Yes / Yes,2.39,-8.05%,43.12%,1.02,49.06,-1.86%,-7.63%,2.12%,Apr 24 BMO,5.53M,48.97,-4.08%,-4.86%,-10.17%,"

","5,663,802",-0.18%,TSCO,-0.0745
"Ecolab, Inc",Basic Materials,Specialty Chemicals,USA,NYSE,S&P 500,35.95,7.35,10.49%,283.51M,1.28%,74.93B,31.30,8.44,-0.11%,253.76M,7.04%,2.10B,2.69,1.89,80.37%,0.99%,-1.08%,15.68B,4.78,12.64%,0.13%,1.78,7.74%,31.31,8.44,12.72%,9.63%,2.52M,12.80%,4.10,64.45,13.37%,24.62%,220.96,273.69,12.79%,2.60 (0.98%),49.85,6.70%,12.77%,-3.43%,1.04,2.44 (0.92%),0.98,4.80%,43.71%,19.61%,4.60,"Jun 17, 2025",1.32,36.31%,16.91%,63.91,1.11%,0.93%,48000,0.94,1.19%,13.41%,2.14,278.70,Yes / Yes,0.86,-1.47%,32.02%,0.73,262.75,-0.02%,0.29%,-1.52%,May 08 BMO,1.42M,264.29,2.73%,6.19%,5.92%,"

","1,036,302",0.59%,ECL,-0.0011
"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA,NASD,"NDX, S&P 500",23.36,4.76,0.16%,1.25B,3.15%,138.21B,13.04,8.52,-23.03%,1.24B,6.62%,5.96B,0.91,1.96,86.75%,1.99%,-0.79%,28.69B,4.82,73.01%,-0.48%,2.54,23.20%,15.39,7.22,6.63%,10.58%,24.68M,69.17%,7.34,15.14,25.74%,32.51%,62.07,119.96,20.29%,3.23 (2.91%),14.04,-38.13%,14.44%,-7.38%,0.31,3.10 (2.79%),1.23,5.30%,78.25%,79.01%,3.16,"Jun 13, 2025",1.37,1144.01%,38.01%,61.14,1.31%,2.71%,17600,1.30,4.63%,20.79%,1.87,116.05,Yes / Yes,1.16,131.24%,805.23%,0.57,108.44,-2.11%,1.66%,-0.60%,Apr 24 AMC,9.70M,111.11,7.16%,5.23%,16.76%,"

","5,597,110",2.46%,GILD,-0.2303
"Marriott International, Inc",Consumer Cyclical,Lodging,USA,NASD,"NDX, S&P 500",30.02,8.78,17.39%,275.00M,1.12%,72.20B,23.27,11.33,-0.07%,226.26M,9.99%,2.48B,2.84,2.61,60.69%,2.48%,-4.91%,25.39B,2.84,7.78%,-0.08%,2.80,-7.27%,-11.52,-,12.65%,9.45%,5.61M,11.42%,1.91,138.05,10.58%,-,204.55,307.52,-5.50%,2.63 (1.00%),39.22,17.02%,21.12%,-14.28%,1.42,2.56 (0.97%),0.45,10.28%,19.57%,28.87%,6.41,"May 23, 2025",0.45,-9.50%,15.40%,57.01,1.98%,1.87%,418000,-,5.45%,9.75%,2.41,280.24,Yes / Yes,-,23.81%,28.94%,0.47,264.53,1.23%,2.98%,4.79%,May 06 BMO,2.01M,263.61,0.55%,8.09%,1.41%,"

","949,722",-0.35%,MAR,-0.0007000000000000001
Union Pacific Corp,Industrials,Railroads,USA,NYSE,S&P 500,20.05,11.10,0.28%,598.99M,-0.50%,132.94B,17.38,12.80,-0.83%,595.80M,3.71%,6.73B,2.46,2.84,82.70%,1.09%,-9.21%,24.25B,5.48,3.80%,-0.77%,2.09,-8.20%,26.78,8.31,11.19%,9.92%,6.51M,-4.11%,2.40,92.71,8.16%,42.47%,204.66,258.07,-2.43%,5.39 (2.42%),22.64,5.75%,14.20%,-13.78%,1.05,5.36 (2.41%),0.61,2.64%,45.39%,8.72%,4.41,"May 30, 2025",0.73,5.93%,39.91%,48.73,0.83%,1.80%,30336,2.11,0.63%,27.77%,1.90,254.12,Yes / Yes,1.96,0.45%,47.63%,0.95,222.18,-0.64%,-1.30%,-0.07%,Apr 24 BMO,3.12M,222.51,-0.09%,-0.39%,-5.96%,"

","2,980,624",0.15%,UNP,-0.0083
Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,NASD,"DJIA, NDX, S&P 500",33.55,6.13,10.58%,10.61B,2.28%,2183.78B,28.36,7.25,-0.02%,9.49B,9.77%,65.94B,1.96,1.32,64.43%,0.75%,-1.46%,650.31B,3.36,11.88%,-0.84%,1.40,4.35%,28.82,7.14,17.23%,11.23%,71.50M,13.80%,9.25,22.23,17.16%,25.24%,151.61,242.52,-6.24%,-,104.94,36.89%,15.02%,-15.18%,1.34,-,0.84,18.31%,49.16%,35.68%,6.05,-,1.05,71.88%,11.15%,58.85,1.57%,2.24%,1556000,0.49,10.08%,10.14%,1.23,237.79,Yes / Yes,0.44,62.33%,0.00%,0.67,204.72,0.33%,16.38%,8.62%,May 01 AMC,51.06M,205.70,2.89%,7.30%,2.24%,"

","34,700,004",0.48%,AMZN,-0.0002
MarketAxess Holdings Inc,Financial,Capital Markets,USA,NASD,S&P 500,37.18,5.76,2.23%,37.57M,-2.53%,8.03B,25.14,8.51,-0.18%,36.67M,-3.43%,216.63M,3.17,1.97,100.13%,2.87%,11.88%,813.88M,9.86,4.09%,-1.12%,1.64,-17.77%,35.86,5.97,12.36%,11.39%,1.05M,-1.30%,14.46,14.80,11.71%,16.25%,186.84,296.68,-5.29%,3.06 (1.43%),22.20,6.16%,16.08%,-27.84%,0.84,3.00 (1.40%),2.37,10.48%,79.83%,14.58%,5.38,"May 21, 2025",2.37,-15.53%,41.52%,43.80,0.91%,1.81%,891,0.05,7.22%,26.62%,2.44,233.08,Yes / Yes,0.00,-79.07%,40.67%,0.87,214.63,-0.67%,3.37%,-2.23%,May 07 BMO,643.29K,214.07,-2.80%,-1.89%,-9.07%,"

","559,029",-0.26%,MKTX,-0.0018
Sherwin-Williams Co,Basic Materials,Specialty Chemicals,USA,NYSE,"DJIA, S&P 500",33.66,10.57,7.08%,250.60M,0.51%,89.15B,26.78,13.29,-0.02%,232.87M,2.19%,2.68B,3.43,3.80,82.08%,2.39%,0.07%,23.04B,3.87,5.11%,-1.33%,3.09,-8.38%,16.48,21.59,11.56%,11.15%,5.56M,16.70%,0.80,446.20,9.82%,70.22%,282.09,400.42,4.65%,3.09 (0.87%),40.98,13.93%,19.81%,-11.16%,1.21,3.01 (0.85%),0.45,5.31%,48.72%,26.11%,7.05,"May 16, 2025",0.77,12.82%,16.65%,53.57,1.32%,1.22%,63890,3.10,0.26%,11.63%,2.07,388.71,Yes / Yes,2.28,1.04%,27.10%,0.40,354.73,-1.73%,4.48%,-1.15%,Apr 29 BMO,1.80M,355.75,-0.10%,3.21%,-1.11%,"

","726,443",0.29%,SHW,-0.0002
Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,NYSE,-,25.37,7.77,0.11%,5.19B,2.81%,1022.40B,18.25,10.80,0.00%,5.18B,19.86%,40.30B,1.15,2.30,16.16%,0.58%,8.87%,96.70B,10.57,36.06%,-1.05%,1.77,3.72%,26.72,7.38,15.57%,20.37%,30.09M,23.22%,15.70,12.56,22.09%,32.11%,133.57,226.40,-0.17%,2.77 (1.40%),32.93,26.75%,23.98%,-12.92%,1.28,2.45 (1.24%),2.18,22.25%,56.02%,47.60%,5.42,"Jun 12, 2025",2.39,47.97%,47.19%,66.20,2.17%,2.18%,-,0.24,35.45%,41.68%,1.23,221.78,Yes / Yes,0.22,53.28%,29.11%,0.82,196.14,1.35%,3.48%,35.36%,Apr 17 AMC,16.97M,197.15,5.18%,14.53%,6.37%,"

","14,624,606",0.51%,TSM,0.0
"Lowe's Cos., Inc",Consumer Cyclical,Home Improvement Retail,USA,NYSE,S&P 500,18.63,12.07,0.12%,560.00M,-1.07%,125.89B,16.86,13.34,0.15%,559.05M,0.74%,6.83B,2.64,4.26,77.61%,1.61%,-8.38%,83.24B,1.51,2.35%,0.34%,3.23,-15.02%,-23.67,-,8.82%,15.05%,9.01M,4.52%,6.11,36.79,7.06%,-,206.38,287.01,-8.86%,4.72 (2.10%),18.85,17.37%,32.57%,-21.63%,0.92,4.60 (2.05%),0.19,3.66%,31.27%,8.99%,5.31,"Apr 23, 2025",1.01,-2.98%,12.17%,48.18,1.44%,1.59%,270000,-,-2.52%,8.20%,2.05,265.00,Yes / Yes,-,-4.56%,37.24%,0.98,224.52,-0.03%,1.32%,-2.03%,May 21 BMO,2.79M,224.93,-0.91%,-0.08%,-9.67%,"

","2,739,534",0.18%,LOW,0.0015
Anheuser-Busch InBev SA/NV ADR,Consumer Defensive,Beverages - Brewers,Belgium,NYSE,-,24.63,2.86,0.00%,1.75B,2.51%,123.67B,16.87,4.18,-,1.75B,8.57%,5.85B,2.40,0.96,6.32%,0.35%,18.52%,59.75B,2.07,5.11%,2.85%,2.57,28.87%,44.62,1.58,12.65%,2.72%,6.15M,8.44%,6.50,10.85,10.27%,7.31%,45.94,70.72,40.86%,1.23 (1.74%),11.06,-8.76%,3.93%,-0.27%,0.84,1.05 (1.49%),0.54,3.05%,55.25%,53.53%,0.98,"May 07, 2025",0.70,10.02%,24.57%,70.92,0.91%,1.12%,143885,0.92,0.64%,9.80%,1.41,80.00,Yes / Yes,0.90,-1.76%,26.66%,0.86,69.77,-1.23%,9.16%,-0.56%,May 08 BMO,2.39M,70.53,4.47%,8.77%,18.92%,"

","2,067,634",1.09%,BUD,
Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,NYSE,S&P 500,39.70,6.88,0.88%,222.54M,1.30%,60.79B,20.93,13.05,-1.86%,220.58M,0.83%,1.55B,9.32,2.98,92.58%,2.16%,-12.56%,12.02B,5.06,-3.01%,1.89%,3.77,-17.68%,66.07,4.13,8.27%,4.14%,4.75M,3.23%,7.20,37.93,4.26%,10.45%,243.69,341.14,-5.82%,7.26 (2.66%),-,16.77%,5.23%,-19.92%,0.86,7.10 (2.60%),0.85,6.83%,32.01%,12.10%,6.30,"Jul 01, 2025",1.00,-37.71%,23.51%,50.09,1.13%,1.35%,23000,1.12,-1.09%,12.87%,2.00,318.05,Yes / Yes,1.01,-402.20%,40.94%,1.03,271.76,-0.08%,-4.93%,-0.50%,May 01 BMO,1.26M,273.17,0.23%,-0.56%,-8.24%,"

","1,291,751",0.52%,APD,-0.018600000000000002
MSCI Inc,Financial,Financial Data & Stock Exchanges,USA,NYSE,S&P 500,38.92,14.54,3.39%,77.60M,1.05%,43.79B,30.06,18.83,-0.26%,74.75M,4.73%,1.14B,3.34,4.09,93.88%,2.03%,-2.63%,2.92B,14.99,10.62%,0.14%,2.70,-4.00%,-12.35,-,11.99%,21.10%,1.51M,14.81%,4.66,121.42,11.64%,-,475.32,642.45,-5.67%,7.47 (1.32%),29.95,16.34%,30.80%,-11.90%,1.33,6.80 (1.20%),0.84,12.96%,75.71%,19.08%,11.08,"May 16, 2025",0.84,-0.89%,53.79%,54.46,1.10%,1.12%,6132,-,11.67%,39.08%,1.86,621.07,Yes / Yes,-,15.22%,45.56%,0.95,562.68,0.32%,2.02%,9.69%,Apr 22 BMO,561.06K,566.00,0.77%,2.35%,-2.06%,"

","531,852",0.59%,MSCI,-0.0026
U.S. Bancorp,Financial,Banks - Regional,USA,NYSE,S&P 500,10.83,4.04,0.26%,1.56B,2.03%,68.18B,9.13,4.79,-5.16%,1.55B,8.05%,6.30B,0.93,1.07,80.30%,1.39%,-5.45%,42.02B,1.62,14.35%,-1.84%,1.88,-16.63%,34.15,1.28,10.55%,0.98%,21.67M,7.97%,-,-,11.64%,11.50%,35.18,53.98,-8.51%,2.03 (4.64%),8.19,-1.86%,5.25%,-18.93%,1.02,1.99 (4.55%),-,12.09%,-,24.39%,0.96,"Mar 31, 2025",0.58,34.00%,19.92%,57.92,1.40%,1.65%,70263,1.28,2.19%,15.00%,2.04,49.43,Yes / Yes,1.00,32.51%,52.31%,0.55,43.23,0.72%,5.17%,-2.64%,Apr 16 BMO,11.53M,43.76,1.67%,5.90%,-4.51%,"

","6,373,152",1.23%,USB,-0.0516
Canadian Pacific Kansas City Limited,Industrials,Railroads,Canada,NYSE,-,24.94,3.26,0.05%,930.40M,0.23%,75.56B,20.71,3.92,0.00%,930.02M,12.67%,3.04B,1.93,0.82,72.39%,0.92%,6.13%,11.80B,6.40,10.83%,-0.50%,2.29,5.89%,51.86,1.57,14.92%,4.10%,8.54M,1.73%,0.75,108.72,12.90%,7.62%,66.49,87.72,12.22%,0.60 (0.74%),42.11,1.85%,4.39%,-7.42%,1.10,0.54 (0.67%),0.70,13.31%,39.10%,22.14%,1.53,"Jun 27, 2025",0.81,5.04%,36.63%,67.02,0.41%,1.55%,20144,0.47,15.29%,25.79%,1.59,89.62,Yes / Yes,0.44,58.37%,19.10%,0.56,80.75,1.40%,2.39%,45.40%,Apr 30 AMC,3.72M,81.21,3.90%,8.95%,4.88%,"

","2,109,922",0.57%,CP,0.0
Intuit Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",61.62,12.29,2.64%,279.07M,14.73%,211.22B,32.97,22.97,-8.11%,271.60M,21.51%,3.47B,3.88,2.65,85.22%,1.37%,26.12%,18.18B,11.62,18.65%,-0.20%,2.01,18.29%,72.11,10.50,14.27%,10.18%,3.72M,24.75%,22.13,34.21,15.88%,17.84%,532.65,758.77,20.48%,3.97 (0.52%),34.62,12.08%,13.02%,-0.20%,1.28,4.02 (0.53%),1.45,19.40%,76.79%,42.16%,17.90,"Jul 10, 2025",1.45,12.89%,25.68%,81.11,3.59%,2.13%,18800,0.35,14.99%,19.07%,1.54,804.19,Yes / Yes,0.32,18.88%,34.51%,0.86,754.45,2.46%,6.55%,15.10%,May 22 AMC,1.85M,757.22,12.85%,20.67%,21.02%,"

","1,589,803",0.37%,INTU,-0.08109999999999999
Carlisle Companies Inc,Industrials,Building Products & Equipment,USA,NYSE,-,10.58,36.61,1.20%,43.30M,-0.43%,16.75B,15.48,25.02,-0.23%,42.73M,2.15%,1.73B,0.89,6.68,97.63%,6.35%,15.59%,5.00B,3.35,9.36%,2.81%,5.84,-13.86%,50.03,7.74,13.25%,13.75%,2.71M,-9.48%,5.09,76.08,11.84%,33.11%,311.41,481.26,5.02%,4.10 (1.06%),22.34,17.24%,42.57%,-19.52%,1.06,4.00 (1.03%),1.69,2.04%,35.62%,24.38%,9.54,"May 19, 2025",2.58,135.52%,21.93%,51.74,2.41%,1.60%,5700,0.87,-0.14%,34.52%,2.00,436.67,Yes / Yes,0.87,-19.23%,20.38%,0.50,388.12,0.65%,5.69%,-0.06%,Apr 23 AMC,464.19K,387.34,-1.46%,5.59%,-2.18%,"

","232,760",-0.20%,CSL,-0.0023
"Idexx Laboratories, Inc",Healthcare,Diagnostics & Research,USA,NASD,"NDX, S&P 500",47.64,10.82,1.03%,80.74M,2.93%,41.46B,37.76,13.65,-2.27%,79.59M,17.98%,894.97M,3.59,3.28,94.41%,3.80%,16.90%,3.93B,10.55,13.90%,3.08%,3.59,23.56%,17.93,28.75,12.33%,27.26%,3.03M,-0.18%,2.04,252.86,13.28%,59.33%,356.14,530.60,24.70%,-,48.91,16.90%,44.86%,-2.84%,1.55,-,0.76,10.23%,61.33%,44.76%,12.90,-,1.10,4.66%,29.20%,67.30,1.65%,2.32%,11000,0.73,5.56%,22.76%,2.00,537.44,Yes / Yes,0.38,5.57%,0.00%,0.43,514.33,0.13%,3.93%,3.56%,May 01 BMO,842.77K,515.55,3.00%,15.02%,14.57%,"

","362,425",0.24%,IDXX,-0.0227
Northern Trust Corp,Financial,Asset Management,USA,NASD,S&P 500,10.02,10.71,1.70%,194.54M,1.88%,20.88B,12.58,8.53,-1.77%,191.22M,14.11%,2.15B,-,2.01,86.00%,3.23%,-1.65%,15.48B,1.35,-18.30%,-0.91%,4.13,-1.96%,61.65,1.74,6.87%,1.36%,6.18M,28.82%,-,-,-1.98%,17.54%,79.68,114.67,4.70%,3.06 (2.86%),5.77,8.07%,10.87%,-6.41%,1.24,3.00 (2.80%),-,20.20%,-,34.70%,2.53,"Jun 06, 2025",1.94,137.62%,18.33%,62.97,2.10%,1.67%,23300,1.25,21.00%,13.88%,3.18,104.96,Yes / Yes,0.54,98.51%,30.70%,0.94,106.76,-0.37%,2.77%,0.33%,Apr 22 BMO,1.50M,107.32,3.40%,10.13%,7.39%,"

","1,410,916",0.52%,NTRS,-0.0177
Ametek Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,29.48,6.11,0.48%,230.88M,1.33%,41.57B,23.70,7.60,-0.18%,229.78M,7.29%,1.42B,4.85,1.70,88.56%,1.18%,-3.89%,6.94B,5.99,3.64%,0.58%,1.93,-8.79%,43.18,4.17,7.32%,9.53%,2.71M,3.67%,1.73,104.18,6.08%,14.96%,145.02,198.33,-0.12%,1.21 (0.67%),24.26,9.56%,12.20%,-9.22%,1.11,1.15 (0.64%),0.86,6.71%,36.18%,24.15%,3.47,"Jun 13, 2025",1.41,7.29%,26.20%,59.57,1.24%,1.41%,21500,0.22,2.98%,20.43%,1.84,195.60,Yes / Yes,0.16,13.36%,18.90%,0.90,178.97,-0.65%,3.63%,-0.24%,May 01 BMO,1.41M,180.04,2.09%,5.89%,1.90%,"

","1,269,931",0.60%,AME,-0.0018
"McCormick & Co., Inc",Consumer Defensive,Packaged Foods,USA,NYSE,S&P 500,24.91,2.91,5.98%,252.68M,0.01%,19.45B,21.86,3.32,-0.89%,252.16M,-4.58%,784.80M,3.57,0.67,83.51%,1.98%,-11.13%,6.73B,2.89,3.28%,2.39%,1.99,-6.48%,20.22,3.59,8.92%,6.09%,4.98M,0.47%,0.38,189.21,6.97%,14.73%,66.88,86.24,-4.84%,1.80 (2.48%),29.97,2.22%,9.21%,-15.87%,0.68,1.74 (2.40%),0.25,4.78%,38.59%,8.47%,1.59,"Apr 07, 2025",0.65,15.26%,15.72%,42.67,1.04%,1.33%,14100,0.79,0.40%,11.67%,2.59,85.27,Yes / Yes,0.57,-1.75%,57.44%,1.20,71.38,-0.40%,-6.70%,0.17%,Mar 25 BMO,2.51M,72.55,-2.14%,-4.84%,-7.30%,"

","3,000,229",1.64%,MKC,-0.0089
Allegion plc,Industrials,Security & Protection Services,Ireland,NYSE,S&P 500,20.13,7.12,0.42%,86.06M,0.98%,12.34B,17.05,8.41,1.93%,85.69M,3.73%,621.90M,2.98,1.99,100.21%,3.37%,12.53%,3.82B,3.23,4.03%,1.23%,2.70,1.39%,18.67,7.68,7.33%,14.05%,2.89M,16.92%,5.75,24.94,6.76%,42.05%,113.27,156.10,9.70%,1.96 (1.37%),19.45,9.70%,16.84%,-8.17%,1.04,1.95 (1.36%),1.51,5.95%,44.49%,26.56%,2.72,"Jun 13, 2025",2.17,16.27%,21.07%,59.11,1.39%,1.06%,14400,1.34,5.48%,16.28%,2.69,141.00,Yes / Yes,1.30,21.64%,28.15%,0.82,143.10,2.28%,11.22%,5.37%,Apr 24 BMO,1.07M,143.35,0.82%,6.92%,5.47%,"

","875,341",0.17%,ALLE,0.019299999999999998
Fair Isaac Corp,Technology,Software - Application,USA,NYSE,S&P 500,72.58,23.22,2.84%,24.35M,-1.34%,41.02B,46.43,36.29,-5.30%,23.65M,-14.10%,577.09M,2.93,7.68,88.33%,2.89%,-8.23%,1.84B,22.29,22.65%,1.04%,2.84,-28.46%,-46.16,-,24.64%,32.61%,0.68M,21.69%,6.02,279.70,24.78%,-,1266.72,2402.51,-15.37%,-,59.82,26.38%,40.93%,-29.87%,1.28,-,2.11,8.25%,80.81%,33.02%,107.30,"Mar 01, 2017",2.11,21.81%,44.15%,37.62,8.44%,5.57%,3586,-,14.72%,31.36%,2.27,2196.06,Yes / Yes,-,27.66%,0.00%,2.37,1619.94,-0.21%,4.44%,14.97%,Apr 29 AMC,240.72K,1685.00,-14.46%,-11.79%,-13.54%,"

","558,608",4.02%,FICO,-0.053
Meta Platforms Inc,Communication Services,Internet Content & Information,USA,NASD,"NDX, S&P 500",25.16,25.64,13.78%,2.18B,1.50%,1621.75B,22.81,28.28,-0.53%,2.17B,16.34%,66.64B,2.50,5.79,68.15%,1.64%,-2.00%,170.36B,9.52,7.14%,-0.87%,2.02,15.36%,73.34,8.80,10.61%,26.49%,35.57M,34.89%,27.96,23.07,10.07%,39.83%,442.65,740.91,10.17%,1.73 (0.27%),31.00,29.99%,28.65%,-12.94%,1.26,2.02 (0.31%),2.66,19.06%,81.75%,45.72%,18.68,"Mar 14, 2025",2.66,47.56%,43.00%,62.98,1.60%,2.40%,74067,0.27,19.37%,39.11%,1.39,696.50,Yes / Yes,0.26,36.38%,8.38%,0.50,643.58,2.36%,22.83%,16.07%,Apr 30 AMC,17.60M,645.05,3.29%,10.94%,8.78%,"

","8,883,436",0.23%,META,-0.0053
Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,USA,NYSE,"DJIA, S&P 500",28.62,2.50,0.77%,4.30B,-0.50%,307.71B,22.35,3.20,-1.64%,4.27B,-1.19%,10.78B,4.71,0.83,74.15%,0.87%,0.87%,46.67B,6.59,3.01%,0.62%,2.07,11.84%,6.09,11.74,7.82%,10.72%,36.96M,15.31%,3.20,22.32,6.08%,40.98%,60.62,74.38,14.82%,2.03 (2.84%),-,3.54%,15.46%,-3.89%,0.46,1.96 (2.75%),0.89,5.10%,61.17%,17.94%,1.15,"Jun 13, 2025",1.10,0.28%,24.71%,51.08,0.76%,1.17%,69700,1.87,1.15%,23.11%,1.50,79.50,Yes / Yes,1.66,5.03%,78.83%,0.57,71.15,0.52%,2.21%,-0.86%,Apr 29 BMO,17.88M,71.49,0.37%,0.46%,5.17%,"

","10,294,095",0.48%,KO,-0.016399999999999998
Sony Group Corporation ADR,Technology,Consumer Electronics,Japan,NYSE,-,21.54,1.24,0.00%,6.03B,6.95%,160.39B,19.59,1.36,-,6.02B,3.38%,7.50B,6.95,0.24,7.87%,0.14%,6.35%,84.99B,1.89,-2.37%,1.57%,1.25,39.66%,9.08,2.93,7.90%,3.25%,8.26M,65.77%,3.81,6.98,3.10%,14.32%,15.67,26.60,25.80%,0.16 (0.60%),9.81,7.37%,10.95%,0.08%,0.97,0.07 (0.25%),0.57,2.67%,34.85%,69.90%,0.62,"Sep 30, 2024",0.70,14.01%,10.88%,64.04,2.04%,1.83%,113000,0.51,-5.46%,8.83%,1.71,29.19,Yes / Yes,0.25,3.48%,7.50%,1.63,26.30,-12.01%,30.41%,-26.39%,May 14 BMO,6.63M,26.62,5.42%,7.91%,24.08%,"

","10,688,720",1.22%,SONY,
Interactive Brokers Group Inc,Financial,Capital Markets,USA,NASD,-,28.89,7.24,2.92%,108.94M,1.96%,88.45B,26.92,7.77,0.00%,105.78M,21.84%,793.00M,4.01,1.81,88.37%,2.35%,2.85%,9.53B,9.28,4.59%,0.23%,1.20,9.23%,41.32,5.06,5.73%,0.55%,2.48M,63.52%,170.53,1.23,7.20%,19.26%,103.69,236.53,18.47%,1.24 (0.59%),6.73,27.01%,17.23%,-11.51%,1.25,1.07 (0.51%),1.08,32.33%,94.11%,101.85%,6.26,"May 30, 2025",1.08,23.59%,83.99%,66.96,1.71%,1.98%,2998,3.78,14.67%,8.32%,1.50,201.75,Yes / Yes,0.02,19.81%,12.27%,0.46,210.81,1.28%,-2.27%,6.18%,Apr 15 AMC,2.08M,209.30,5.90%,16.91%,21.33%,"

","965,749",-0.72%,IBKR,0.0
Constellation Brands Inc,Consumer Defensive,Beverages - Brewers,USA,NYSE,S&P 500,-,-0.49,23.19%,178.19M,-3.23%,31.99B,12.96,13.87,-0.01%,136.72M,-3.53%,-81.40M,-,3.43,83.69%,3.73%,3.73%,10.21B,3.13,-7.34%,-3.79%,2.35,-25.01%,38.62,4.65,8.64%,-0.34%,5.10M,-27.68%,0.38,469.77,-,-0.98%,160.46,265.70,-18.68%,4.16 (2.32%),16.51,-48.41%,-0.49%,-32.36%,0.70,4.05 (2.25%),0.56,5.20%,50.96%,12.00%,4.21,"Apr 29, 2025",0.92,-105.65%,35.52%,39.20,2.20%,1.50%,10600,1.76,2.47%,-0.80%,2.00,206.90,Yes / Yes,1.43,-197.58%,37.91%,0.98,178.73,1.80%,15.61%,1.16%,Apr 09 AMC,2.17M,179.71,-4.16%,-2.70%,-15.18%,"

","2,122,059",0.55%,STZ,-0.0001
Rockwell Automation Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,39.65,7.94,0.22%,112.70M,4.36%,35.50B,27.43,11.48,-12.73%,112.47M,27.17%,902.90M,3.69,2.65,83.56%,1.86%,10.76%,7.97B,4.45,0.73%,-2.35%,2.02,8.28%,30.51,10.32,17.39%,8.08%,2.09M,19.21%,4.05,77.85,10.75%,25.86%,215.00,314.94,10.20%,5.16 (1.64%),33.18,7.28%,14.27%,-0.00%,1.37,5.18 (1.64%),0.72,4.79%,39.08%,46.48%,7.68,"May 19, 2025",1.05,-22.50%,17.02%,75.06,1.26%,2.67%,27000,1.19,-11.19%,11.33%,2.19,324.00,Yes / Yes,0.84,-4.03%,60.38%,0.81,312.39,1.78%,16.91%,-5.79%,May 07 BMO,1.03M,314.93,7.08%,18.79%,14.97%,"

","845,422",0.81%,ROK,-0.1273
"TJX Companies, Inc",Consumer Cyclical,Apparel Retail,USA,NYSE,S&P 500,29.96,4.24,0.14%,1.12B,-3.02%,141.87B,25.63,4.96,-3.82%,1.11B,-0.75%,4.83B,3.53,1.01,91.88%,1.28%,2.90%,56.99B,2.49,5.23%,-1.39%,2.37,4.61%,7.50,16.95,10.58%,15.70%,14.32M,24.41%,3.81,33.34,8.48%,60.36%,101.01,135.85,5.18%,1.67 (1.31%),37.56,9.81%,24.27%,-6.46%,0.90,1.12 (0.89%),0.51,8.70%,30.43%,25.80%,2.60,"May 15, 2025",1.16,10.34%,10.92%,46.13,2.14%,1.41%,364000,1.54,3.79%,8.47%,1.62,144.67,Yes / Yes,1.34,-1.98%,35.22%,1.06,126.22,0.73%,0.56%,5.06%,May 21 BMO,6.04M,127.07,-2.12%,0.73%,4.80%,"

","6,410,908",0.67%,TJX,-0.0382
